name,slug,value,date_of_information,ranking,region
"Haiti","haiti","65.95","","198","Central America and the Caribbean"
"Rwanda","rwanda","65.85","","199","Africa"
"Botswana","botswana","65.64","","200","Africa"
"Liberia","liberia","65.45","","201","Africa"
"South Africa","south-africa","65.32","","202","Africa"
"Djibouti","djibouti","65.30","","203","Africa"
"Mauritania","mauritania","65.22","","204","Africa"
"Guinea","guinea","63.90","","205","Africa"
"Equatorial Guinea","equatorial-guinea","63.70","","206","Africa"
"Guinea-Bissau","guinea-bissau","63.68","","207","Africa"
"Burkina Faso","burkina-faso","63.44","","208","Africa"
"Zimbabwe","zimbabwe","63.32","","209","Africa"
"Cameroon","cameroon","63.27","","210","Africa"
"Mali","mali","62.41","","211","Africa"
"Cote d'Ivoire","cote-divoire","62.26","","212","Africa"
"Benin","benin","62.21","","213","Africa"
"Angola","angola","62.11","","214","Africa"
"Congo, Republic of the","congo-republic-of-the","62.10","","215","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","61.83","","216","Africa"
"Nigeria","nigeria","61.33","","217","Africa"
"Niger","niger","60.09","","218","Africa"
"Eswatini","eswatini","59.69","","219","Africa"
"Lesotho","lesotho","59.57","","220","Africa"
"South Sudan","south-sudan","59.16","","221","Africa"
"Chad","chad","59.15","","222","Africa"
"Sierra Leone","sierra-leone","58.76","","223","Africa"
"Mozambique","mozambique","57.10","","224","Africa"
"Somalia","somalia","55.72","","225","Africa"
"Central African Republic","central-african-republic","55.52","","226","Africa"
"Afghanistan","afghanistan","53.65","","227","South Asia"
