name,slug,value,date_of_information,ranking,region
"Tunisia","tunisia","32.8","2015 est.","134","Africa"
"Mongolia","mongolia","32.7","2018 est.","135","East and Southeast Asia"
"Switzerland","switzerland","32.7","2017 est.","136","Europe"
"Mauritania","mauritania","32.6","2014 est.","137","Africa"
"United Arab Emirates","united-arab-emirates","32.5","2014 est.","138","Middle East"
"Bangladesh","bangladesh","32.4","2016 est.","139","South Asia"
"Germany","germany","31.9","2016 est.","140","Europe"
"Lebanon","lebanon","31.8","2011 est.","141","Middle East"
"France","france","31.6","2017 est.","142","Europe"
"Egypt","egypt","31.5","2017 est.","143","Africa"
"Cyprus","cyprus","31.4","2017 est.","144","Europe"
"Maldives","maldives","31.3","2016 est.","145","South Asia"
"Burma","burma","30.7","2017 est.","146","East and Southeast Asia"
"Hungary","hungary","30.6","2017 est.","147","Europe"
"Croatia","croatia","30.4","2017 est.","148","Europe"
"Estonia","estonia","30.4","2017 est.","149","Europe"
"Austria","austria","29.7","2017 est.","150","Europe"
"Poland","poland","29.7","2017 est.","151","Europe"
"Iraq","iraq","29.5","2012 est.","152","Middle East"
"Afghanistan","afghanistan","29.4","2008","153","South Asia"
"Malta","malta","29.2","2017 est.","154","Europe"
"Kosovo","kosovo","29.0","2017 est.","155","Europe"
"Sweden","sweden","28.8","2017 est.","156","Europe"
"Denmark","denmark","28.7","2017 est.","157","Europe"
"Timor-Leste","timor-leste","28.7","2014 est.","158","East and Southeast Asia"
"Netherlands","netherlands","28.5","2017 est.","159","Europe"
"Kyrgyzstan","kyrgyzstan","27.7","2018 est.","160","Central Asia"
"Algeria","algeria","27.6","2011 est.","161","Africa"
"Kazakhstan","kazakhstan","27.5","2017 est.","162","Central Asia"
"Belgium","belgium","27.4","2017 est.","163","Europe"
"Finland","finland","27.4","2017 est.","164","Europe"
"Norway","norway","27.0","2017 est.","165","Europe"
"Iceland","iceland","26.8","2015 est.","166","Europe"
"Ukraine","ukraine","26.1","2018 est.","167","Europe"
"Moldova","moldova","25.7","2018 est.","168","Europe"
"Belarus","belarus","25.2","2018 est.","169","Europe"
"Slovakia","slovakia","25.2","2016 est.","170","Europe"
"Czechia","czechia","24.9","2017 est.","171","Europe"
"Slovenia","slovenia","24.2","2017 est.","172","Europe"
"Faroe Islands","faroe-islands","22.7","2013 est.","173","Europe"
"Jersey","jersey","0.3","2014 est.","174","Europe"
